Country/Region,Case-Fatality,Deaths-per-100k
Peru,8.80,623.35
Bulgaria,4.20,442.82
Bosnia and Herzegovina,4.60,406.79
Hungary,3.10,400.25
Montenegro,1.40,386.89
North Macedonia,3.50,381.72
Georgia,1.50,369.8
Moldova,2.60,364.61
Czechia,1.50,337.98
Croatia,1.80,307.14
Slovakia,1.20,304.32
Romania,3.20,303.33
Brazil,2.80,293.41
San Marino,1.30,292.38
Armenia,2.30,269.4
Slovenia,1.20,267.39
Lithuania,1.40,264.56
Argentina,2.10,260.68
Colombia,2.50,258.05
Poland,2.40,253.92
United States,1.50,251.13
Belgium,1.40,246.5
Latvia,1.70,238.45
Paraguay,3.60,235.98
Mexico,7.60,234.47
Ukraine,2.70,229.46
Italy,2.30,227.62
United Kingdom,1.20,222.78
Tunisia,3.50,218.53
Russia,2.90,209.03
Chile,2.20,206.29
Suriname,2.30,204.52
Trinidad and Tobago,3.10,204.31
Ecuador,6.20,193.81
Greece,1.80,193.24
Spain,1.40,189.91
France,1.30,185.71
Portugal,1.40,184.4
Bahamas,3.00,183.83
Serbia,1.00,182.69
Liechtenstein,1.10,181.49
Andorra,0.60,181.48
Grenada,3.20,178.57
Uruguay,1.50,178.21
Panama,1.50,174.85
Bolivia,3.30,170.68
Kosovo,1.90,166.64
Saint Lucia,2.20,161.39
Iran,2.10,158.69
South Africa,2.60,155.5
Austria,1.10,154.34
Belize,1.80,153.19
Sweden,1.20,148.85
Luxembourg,0.90,147.12
Costa Rica,1.30,145.67
Estonia,0.80,145.34
Namibia,2.50,144.96
Switzerland,0.90,142.35
Seychelles,0.50,137.26
Germany,1.60,134.64
Guyana,2.70,134.4
Lebanon,1.30,132.77
Netherlands,0.70,123.23
Antigua and Barbuda,2.80,122.53
Jordan,1.20,122.47
Ireland,0.80,119.64
Eswatini,2.00,113.14
Albania,1.50,112.54
Honduras,2.70,107.05
Botswana,1.10,106.09
West Bank and Gaza,1.00,104.99
Turkey,0.90,98.52
Malaysia,1.10,98.47
Kazakhstan,1.70,98.36
Monaco,0.80,97.53
Guatemala,2.60,97
Malta,0.90,94.7
Israel,0.60,91.05
Barbados,0.90,90.58
Bahrain,0.50,84.94
Libya,1.50,84.04
Jamaica,2.60,83.78
Azerbaijan,1.40,83.27
Oman,1.30,82.73
Canada,1.40,80.68
Fiji,1.30,78.43
Cuba,0.90,73.43
St. Vincent and the Grenadines,1.40,73.24
Sri Lanka,2.50,68.62
Dominica,0.70,65.45
Cabo Verde,0.90,64.01
Mongolia,0.50,63.84
Iraq,1.20,61.45
El Salvador,3.10,59.24
Belarus,0.80,58.74
Kuwait,0.60,58.66
Denmark,0.40,56.22
Indonesia,3.40,53.24
Cyprus,0.40,53.06
Saint Kitts and Nevis,1.00,53
Maldives,0.30,49.35
Philippines,1.80,47.52
Kyrgyzstan,1.50,43.36
Morocco,1.50,40.7
Nepal,1.40,40.51
Dominican Republic,1.00,39.54
Myanmar,3.60,35.65
India,1.40,35.21
Zimbabwe,2.40,34.12
Vietnam,1.90,33.35
Lesotho,2.30,31.29
Thailand,1.00,31.13
Finland,0.60,28.15
Sao Tome and Principe,1.50,26.5
Saudi Arabia,1.60,25.9
Norway,0.30,24.4
Brunei,0.60,22.62
United Arab Emirates,0.30,22.13
Qatar,0.20,21.79
Egypt,5.60,21.64
Zambia,1.50,20.88
Djibouti,1.40,19.41
Afghanistan,4.70,19.34
Mauritania,2.10,19.07
Mauritius,1.00,18.96
Venezuela,1.20,18.67
Comoros,2.50,18.33
Cambodia,2.50,18.27
Bangladesh,1.80,17.22
Syria,5.80,16.95
Gambia,3.40,14.57
Algeria,2.90,14.57
Japan,1.10,14.56
Singapore,0.30,14.5
Pakistan,2.20,13.36
Gabon,0.70,13.26
Equatorial Guinea,1.30,12.91
Malawi,3.20,12.64
Senegal,2.50,11.6
South Korea,0.90,10.76
Rwanda,1.20,10.68
Iceland,0.10,10.24
Kenya,1.80,10.23
Timor-Leste,0.60,9.43
Australia,0.60,8.8
Somalia,5.70,8.63
Sudan,7.20,7.78
Guinea-Bissau,2.30,7.76
Uganda,2.40,7.43
Cameroon,1.70,7.15
Republic of the Congo,1.80,6.82
Yemen,19.60,6.8
Haiti,2.90,6.8
Papua New Guinea,1.60,6.72
Mozambique,1.10,6.57
Ethiopia,1.70,6.18
Liberia,4.60,5.81
Angola,2.20,5.54
Laos,0.30,5.02
Uzbekistan,0.70,4.42
Ghana,0.90,4.23
Madagascar,2.00,3.81
Taiwan,5.00,3.58
Mali,3.20,3.35
Nicaragua,1.20,3.32
Guinea,1.20,3.06
Togo,0.80,3.04
Côte d'Ivoire,1.00,2.77
Central African Republic,0.80,2.13
Sierra Leone,1.80,1.57
Burkina Faso,1.80,1.56
Nigeria,1.30,1.51
Democratic Republic of the Congo,1.60,1.39
Benin,0.60,1.36
Tajikistan,0.70,1.34
Tanzania,2.50,1.27
South Sudan,0.90,1.22
Niger,3.70,1.18
Chad,3.20,1.14
New Zealand,0.40,1.04
Bhutan,0.10,0.39
China,4.20,0.35
Burundi,0.10,0.33
Eritrea,0.90,nan
